incoming_id,predicted_duplicate,matched_product_id,score
EVAL-DUP-001,False,,0.8765698671340942
EVAL-DUP-002,True,B07H2Y8R6Y,0.9075446128845215
EVAL-DUP-003,False,,0.8885757923126221
EVAL-DUP-004,True,8417063064,0.9102594256401062
EVAL-DUP-005,False,,0.8904168605804443
EVAL-DUP-006,True,B01M6YTQAM,0.9218457937240601
EVAL-DUP-007,True,B01M0G3WP0,0.9598172307014465
EVAL-NEW-001,False,,0.8834404945373535
EVAL-NEW-002,False,,0.8708564043045044
EVAL-NEW-003,False,,0.8782702684402466
EVAL-NEW-004,False,,0.8828820586204529
EVAL-NEW-005,False,,0.8859196901321411
EVAL-NEW-006,False,,0.8785921335220337
EVAL-NEW-007,False,,0.8918788433074951
