evaluation_id,rank,product_id,score
EVAL-100455-context,1,AURUM-NEW-001,0.9057506918907166
EVAL-100455-context,2,B07GSD93Q8,0.8856585621833801
EVAL-100455-context,3,B07C2TM76Y,0.8853967189788818
EVAL-100455-context,4,B00G7614BK,0.8840915560722351
EVAL-100455-context,5,B0071T3MOO,0.883850634098053
EVAL-100455-context,6,B01N5T6SL4,0.8783004879951477
EVAL-100455-context,7,B07NFK1HV6,0.8758872151374817
EVAL-100455-context,8,B0713TKV32,0.874886691570282
EVAL-100455-context,9,B09CYWTYVD,0.8744661211967468
EVAL-100455-context,10,B075FPNWM2,0.8733036518096924
EVAL-100455-direct,1,AURUM-NEW-001,0.9164757132530212
EVAL-100455-direct,2,B0071T3MOO,0.9000111818313599
EVAL-100455-direct,3,B078W684Y2,0.8927899599075317
EVAL-100455-direct,4,B00G7614BK,0.8923131227493286
EVAL-100455-direct,5,B00GDFU56A,0.8909115791320801
EVAL-100455-direct,6,B07C2TM76Y,0.8853253126144409
EVAL-100455-direct,7,B01A5VQBEC,0.8852943181991577
EVAL-100455-direct,8,B01N5T6SL4,0.8844232559204102
EVAL-100455-direct,9,B07NFK1HV6,0.8813395500183105
EVAL-100455-direct,10,B076HP22SP,0.8764060735702515
EVAL-100455-semantic,1,B01N6Y6G16,0.8901125192642212
EVAL-100455-semantic,2,B01AB2KU5G,0.8835798501968384
EVAL-100455-semantic,3,B08ZMZZRJH,0.8821922540664673
EVAL-100455-semantic,4,B07GSD93Q8,0.8778223395347595
EVAL-100455-semantic,5,B00IYEEY0Q,0.876948893070221
EVAL-100455-semantic,6,B01N5T6SL4,0.8711850047111511
EVAL-100455-semantic,7,B0798C8QF6,0.8695443868637085
EVAL-100455-semantic,8,B07ZVQB12X,0.8636474609375
EVAL-100455-semantic,9,B07B2GCJW2,0.8634032011032104
EVAL-100455-semantic,10,B074C6F1T2,0.8632901906967163
EVAL-101352-context,1,AURUM-NEW-004,0.9167742133140564
EVAL-101352-context,2,B075Q9F6J1,0.8843597173690796
EVAL-101352-context,3,B07CRRY36Y,0.879655122756958
EVAL-101352-context,4,B07WV3V2GV,0.8793392777442932
EVAL-101352-context,5,B07CQ84VKG,0.8748489618301392
EVAL-101352-context,6,B075NRXVG8,0.8675559163093567
EVAL-101352-context,7,B07ZFBXCHL,0.8664790391921997
EVAL-101352-context,8,B01CTWGXNY,0.8662010431289673
EVAL-101352-context,9,B08T7YZDQ9,0.8661627769470215
EVAL-101352-context,10,B08X7DF5DG,0.8659192323684692
EVAL-101352-direct,1,AURUM-NEW-004,0.9089574813842773
EVAL-101352-direct,2,B07CQ84VKG,0.8904399275779724
EVAL-101352-direct,3,B07CRRY36Y,0.889155924320221
EVAL-101352-direct,4,B06Y2GRX8V,0.8873448967933655
EVAL-101352-direct,5,B07WV3V2GV,0.8853707313537598
EVAL-101352-direct,6,B07V1XCNVT,0.8697408437728882
EVAL-101352-direct,7,B07TYG4M2B,0.868747353553772
EVAL-101352-direct,8,B0926NPQDP,0.8670806884765625
EVAL-101352-direct,9,B07QVHD5BS,0.8639478087425232
EVAL-101352-direct,10,B07CKWJK2B,0.862475574016571
EVAL-101352-semantic,1,B075Q9F6J1,0.8844112753868103
EVAL-101352-semantic,2,AURUM-NEW-004,0.880185067653656
EVAL-101352-semantic,3,B08KD2RX1J,0.8734427690505981
EVAL-101352-semantic,4,B08T7YZDQ9,0.8709137439727783
EVAL-101352-semantic,5,B08TLXPSPB,0.8694677352905273
EVAL-101352-semantic,6,B00XOZ1UIY,0.8687357306480408
EVAL-101352-semantic,7,B07MM4539M,0.8682258129119873
EVAL-101352-semantic,8,B075NRXVG8,0.8680405616760254
EVAL-101352-semantic,9,B07NLHPYCX,0.866071343421936
EVAL-101352-semantic,10,B09DKDNSKF,0.8654934167861938
EVAL-93437-context,1,B092QVSY57,0.8917509317398071
EVAL-93437-context,2,AURUM-NEW-002,0.8864420652389526
EVAL-93437-context,3,B07FPF4KHR,0.8824648857116699
EVAL-93437-context,4,B07MNJKJ67,0.8821640014648438
EVAL-93437-context,5,B00I4SQ0JK,0.8766099214553833
EVAL-93437-context,6,B01GW2ELFY,0.8762667775154114
EVAL-93437-context,7,B07JGRT3KR,0.8759520649909973
EVAL-93437-context,8,B07QC74LKS,0.8757704496383667
EVAL-93437-context,9,B073ZHMP25,0.8737334609031677
EVAL-93437-context,10,B099W78ZRJ,0.8715201616287231
EVAL-93437-direct,1,AURUM-NEW-002,0.9084475636482239
EVAL-93437-direct,2,B08HGBV9R4,0.8876314163208008
